abalan: abal
alas: alasan
alesan: alasan
alesannya: alasan
alessannya: alasan
alibi: alasan
dalih: alasan
dontol: alat kelamin laki laki
komtol: alat kelamin laki laki
peler: alat kelamin laki laki
fefeq: alat kelamin perempuan
memwk: alat kelamin perempuan
mwmwk: alat kelamin perempuan
alexader: alexander
alhamdulilah: alhamdulillah
alhamfulillah: alhamdulillah
allhamdulilah: alhamdulillah
allahu: allah
alloh: allah
artenatif: alternatif
keamana: aman
keamananya: aman
kemananan: aman
security: aman
cybersecurty: aman siber
awam: amatir
newbie: amatir
noob: amatir
nub: amatir
ngambil: ambil
ngambilnya: ambil
pengabilan: ambil
take: ambil
aamiin: amin
aamin: amin
amiiin: amin
amiin: amin
aminamin: amin
ampiun: ampun
ampung: ampun
ampuun: ampun
ampuuun: ampun
amsyong: ampun
tan: an
bocil: anak kecil
analisasi: analisis
menganalisis: analisis
adr: android
andoid: android
andorid: android
andoroid: android
andro: android
androidnya: android
androinya: android
androit: android
andtoid: android
diandroid: android
aneeh: aneh
freak: aneh
nyeleneh: aneh
aggran: anggar
anggar: anggar
anggara: anggar
anggaranne: anggar
anggran: anggar
bajet: anggar
budget: anggar
budgetnya: anggar
dana: anggar
apbn: anggar dapat dan belanja negara
anggita: anggota
anggoa: anggota
angota: anggota
anjaaay: anjay
anjir: anjay
anjur: anjay
bejir: anjay
bjir: anjay
bjirlah: anjay
njir: anjay
ajg: anjing
ajig: anjing
ajing: anjing
amj: anjing
anj: anjing
anjeeeng: anjing
anjeng: anjing
anjim: anjing
anjng: anjing
anying: anjing
anyink: anjing
anyyiiing: anjing
assu: anjing
asu: anjing
asw: anjing
aswu: anjing
asyu: anjing
njing: anjing
uassyyyu: anjing
uasyu: anjing
among: antara
ui: antarmuka guna
api: antarmuka program aplikasi
antri: antre
ngantri: antre
ap: apa
apaaan: apa
apaanih: apa
apaansih: apa
apain: apa
apalah: apa
apan: apa
apapa: apa
apasih: apa
apha: apa
appan: apa
opo: apa
pa: apa
ppa: apa
qpanya: apa
papa: apa apa
apani: apa ini
apakabar: apa kabar
apalaaagi: apalagi
apalgi: apalagi
apelagi: apalagi
aplagi: apalagi
aplg: apalagi
aplgi: apalagi
apqlagi: apalagi
apqlqgi: apalagi
asn: aparatur sipil negara
afk: aplikasi
aflikasi: aplikasi
aflikasinya: aplikasi
amplikasi: aplikasi
amplikasinya: aplikasi
apak: aplikasi
apalikasi: aplikasi
apikasi: aplikasi
apikasinya: aplikasi
apilkasi: aplikasi
apk: aplikasi
apkikasi: aplikasi
apklikasi: aplikasi
apklikasinya: aplikasi
apkm: aplikasi
apkny: aplikasi
apknya: aplikasi
apks: aplikasi
apksinya: aplikasi
apl: aplikasi
aplakasi: aplikasi
apliaksi: aplikasi
apliaksinya: aplikasi
aplication: aplikasi
aplikaai: aplikasi
aplikaainya: aplikasi
aplikai: aplikasi
aplikais: aplikasi
aplikaisny: aplikasi
aplikaisnya: aplikasi
aplikas: aplikasi
aplikasih: aplikasi
aplikasihnya: aplikasi
aplikasimya: aplikasi
aplikasina: aplikasi
aplikasine: aplikasi
aplikasinga: aplikasi
aplikasini: aplikasi
aplikasinnya: aplikasi
aplikasiny: aplikasi
aplikasinya: aplikasi
aplikasinyak: aplikasi
aplikasinyo: aplikasi
aplikasisi: aplikasi
aplikasix: aplikasi
aplikasiya: aplikasi
aplikasjnya: aplikasi
aplikask: aplikasi
aplikasnya: aplikasi
aplikasunya: aplikasi
aplikator: aplikasi
aplikkasi: aplikasi
apliknsinya: aplikasi
apliks: aplikasi
apliksi: aplikasi
apliksih: aplikasi
apliksinya: aplikasi
aplilasi: aplikasi
aplilasinya: aplikasi
aplk: aplikasi
aplkasi: aplikasi
aplkikasinya: aplikasi
aplkkasinya: aplikasi
aplks: aplikasi
aplksi: aplikasi
aplksiny: aplikasi
apllikasi: aplikasi
aplnya: aplikasi
aplukasi: aplikasi
app: aplikasi
applikasi: aplikasi
applikasih: aplikasi
applikasinya: aplikasi
appny: aplikasi
appnya: aplikasi
apps: aplikasi
appsnya: aplikasi
aps: aplikasi
ask: aplikasi
keapl: aplikasi
palikasinya: aplikasi
plikasi: aplikasi
plikasinya: aplikasi
qpliksi: aplikasi
software: aplikasi
softwarenya: aplikasi
uplikasi: aplikasi
aplikasibtdk: aplikasi tidak
webapp: aplikasi website
appstore: app store
diarahin: arah
ranah: area
ngarit: arit
ngasal: asal
ngawur: asal
asem: asam
ashar: asar
azasnya: asas
asyik: asik
original: asli
otentik: asli
real: asli
riil: asli
assalamu: assalamualaikum
asslamulikum: assalamualaikum
wasslamulikum: assalamualaikum
alamak: astaga
buset: astaga
busyet: astaga
eah: astaga
ealaah: astaga
eeetdah: astaga
elah: astaga
etdah: astaga
euh: astaga
oalah: astaga
omegot: astaga
omg: astaga
owalah: astaga
astagfirullah: astaghfirullahaladziim
astaghfirullah: astaghfirullahaladziim
astaghfirullahalazim: astaghfirullahaladziim
istighfar: astaghfirullahaladziim
atan: atas
mengatsi: atas
ngatasi: atas
terasi: atas
atauw: atau
ataw: atau
ato: atau
atw: atau
maupun: atau
or: atau
aturanya: atur
aturen: atur
disetting: atur
kesetting: atur
nyetingn: atur
setel: atur
seting: atur
setingan: atur
setting: atur
settingan: atur
settingannya: atur
settingna: atur
aauntetikasi: autentikasi
auntentik: autentikasi
auntetikasi: autentikasi
aunthenticatornya: autentikasi
auntifikasi: autentikasi
autenicator: autentikasi
autenik: autentikasi
autentic: autentikasi
autenticate: autentikasi
autenticator: autentikasi
autentification: autentikasi
autentifikasi: autentikasi
autentik: autentikasi
autentikator: autentikasi
autentivikasi: autentikasi
authenticate: autentikasi
authenticated: autentikasi
authentication: autentikasi
authenticator: autentikasi
authentifikasi: autentikasi
authentikan: autentikasi
authentikasi: autentikasi
authentikasinya: autentikasi
authrnticator: autentikasi
ontemtikasi: autentikasi
otensifikasi: autentikasi
otentifikasi: autentikasi
otentifikasinya: autentikasi
otentikasi: autentikasi
otorisasi: autentikasi
ountifikasi: autentikasi
outentifikasinya: autentikasi
outikasi: autentikasi
utentifikasi: autentikasi
fa: autentikasi dua faktor
fanya: autentikasi dua faktor
ayok: ayo
ayolaaah: ayo
ayu: ayo
come: ayo
go: ayo
yok: ayo
yuh: ayo
yuk: ayo
ayodong: ayo dong
ayolah: ayo lah
ngebaca: baca
pmbacaan: baca
read: baca
terbac: baca
backendnya: backend
bawaslu: badan awas pilih umum
bpjs: badan selenggara jamin sosial
bgai: bagai
sbg: bagai
sbgai: bagai
sbginya: bagai
sbb: bagai ikut
bagaima: bagaimana
bagaimama: bagaimana
bagaiman: bagaimana
bagaimna: bagaimana
bagamana: bagaimana
bagiman: bagaimana
begimana: bagaimana
bgaimana: bagaimana
bgaimna: bagaimana
bgimana: bagaimana
bgmana: bagaimana
bgmn: bagaimana
bgmna: bagaimana
bijimane: bagaimana
cemana: bagaimana
cemananya: bagaimana
gemana: bagaimana
gemna: bagaimana
giaman: bagaimana
giman: bagaimana
gimana: bagaimana
gimanalah: bagaimana
gimanasih: bagaimana
gimaneh: bagaimana
gimn: bagaimana
gimna: bagaimana
gimsna: bagaimana
gmama: bagaimana
gman: bagaimana
gmn: bagaimana
gmna: bagaimana
gmnasih: bagaimana
gmnin: bagaimana
how: bagaimana
kmha: bagaimana
kumaha: bagaimana
mna: bagaimana
nyabgmn: bagaimana
pie: bagaimana
piye: bagaimana
dishare: bagi
share: bagi
sharing: bagi
seblah: bagian
apik: bagus
baagus: bagus
bagud: bagus
bagusin: bagus
baguus: bagus
bangus: bagus
bgaus: bagus
bgs: bagus
bgsu: bagus
bgus: bagus
brilian: bagus
cakep: bagus
dibagusinlah: bagus
excellent: bagus
exelent: bagus
fine: bagus
gabus: bagus
god: bagus
good: bagus
goood: bagus
gooood: bagus
hauche: bagus
jempol: bagus
keran: bagus
kereeen: bagus
kren: bagus
matoh: bagus
megesankan: bagus
memadahi: bagus
mulus: bagus
nais: bagus
nice: bagus
op: bagus
perfect: bagus
tokcer: bagus
wel: bagus
well: bagus
welll: bagus
welllll: bagus
nicegood: bagus mantap
bhan: bahan
bahkn: bahkan
bhkn: bahkan
bahwasanya: bahwa
assip: baik
bail: baik
benah: baik
benahin: baik
benai: baik
benerin: baik
benerinnya: baik
beresin: baik
best: baik
betulin: baik
bsik: baik
diatasi: baik
dibaikin: baik
dibenarin: baik
dibenerin: baik
dierbaiki: baik
diperbaiki: baik
diperbaikin: baik
diph: baik
diprbaiki: baik
disepurnakan: baik
ditikat: baik
ditingkatin: baik
ditingkatka: baik
dperbaiki: baik
enhance: baik
fiks: baik
fix: baik
fixed: baik
fux: baik
ik: baik
maintance: baik
mainten: baik
maintenance: baik
maintence: baik
maintenence: baik
ningkat: baik
ningkatin: baik
nyempurnain: baik
oc: baik
ok: baik
okay: baik
oke: baik
okeh: baik
okejos: baik
okey: baik
oklah: baik
okok: baik
oky: baik
ook: baik
optimal: baik
optimalin: baik
optimalisasi: baik
optimalkam: baik
optimasi: baik
optimlkan: baik
patut: baik
pebenahanya: baik
pemutahiran: baik
perbaikaannya: baik
perbaiki: baik
perbaikin: baik
perbaikn: baik
perbaki: baik
perbiki: baik
prbaiki: baik
sbaikny: baik
seyogyanya: baik
sib: baik
siiiip: baik
siiip: baik
siip: baik
sip: baik
suip: baik
sup: baik
tingkat: baik
tingkatin: baik
tingkatkn: baik
tingkt: baik
tungkatkan: baik
bajakan: bajak
kebajikan: bajik
banjingan: bajing
sekiya: bajing
bakaln: bakal
bakln: bakal
bkal: bakal
bkalan: bakal
bsre: balai sertifikasi elektronik
balasan: balas
blzn: balas
dibales: balas
balek: balik
balikin: balik
mbalik: balik
dibnding: banding
banh: bang
bg: bang
dude: bang
gan: bang
jal: bang
king: bang
ndan: bang
banga: bangga
priet: bangga
bangai: bangkai
bangke: bangkai
bgke: bangkai
bgst: bangsat
bangking: banking
bantuannnya: bantu
bantuanx: bantu
bantuanya: bantu
bantuin: bantu
bntu: bantu
bntuanya: bantu
mbantu: bantu
mebantu: bantu
membantu: bantu
mmembanti: bantu
ngebantu: bantu
bansos: bantu sosial
ba: banyak
banuak: banyak
banya: banyak
banyaak: banyak
banyakin: banyak
banyakny: banyak
banyknya: banyak
bayak: banyak
bnyak: banyak
bnyal: banyak
bnyk: banyak
buanyaaak: banyak
buanyak: banyak
buuuanyak: banyak
byak: banyak
byk: banyak
kakean: banyak
kbnyakan: banyak
kbnykn: banyak
kebayakan: banyak
kebnyakan: banyak
kebnyakn: banyak
multipel: banyak
bapa: bapak
bpak: bapak
bpk: bapak
pack: bapak
pak: bapak
barangsiapa: barang siapa
brngkali: barangkali
berbie: barbie
abdate: baru
abded: baru
apdate: baru
apdet: baru
apgred: baru
baharu: baru
br: baru
bru: baru
diabdet: baru
diapdet: baru
diupate: baru
diupdate: baru
diupgrade: baru
dupgrade: baru
memberparui: baru
mengapgret: baru
mengupdate: baru
new: baru
opdat: baru
perbahurui: baru
prbaharui: baru
terbr: baru
terupdate: baru
terupgrade: baru
trbaru: baru
ubdate: baru
ubdet: baru
uldate: baru
uodate: baru
upadate: baru
updat: baru
updata: baru
updatae: baru
update: baru
updatean: baru
updated: baru
updatelah: baru
updatenya: baru
updatetannya: baru
updatr: baru
updet: baru
updete: baru
updeting: baru
updte: baru
upedate: baru
upgrade: baru
upgraede: baru
upgrate: baru
upgrde: baru
upgred: baru
upgret: baru
uptudet: baru
uptudte: baru
barusah: baru saja
barusan: baru saja
barususah: baru sulit
berbasis: basis
bervasis: basis
database: basis data
databasenya: basis data
batalin: batal
cancel: batal
btas: batas
tenggat: batas
deadline: batas waktu
batrai: baterai
bauk: bau
bawan: bawa
default: bawa
defaultnya: bawa
depaul: bawa
bawahny: bawah
banyangkan: bayang
bayangin: bayang
kbayang: bayang
ngebayangin: bayang
ngembayangin: bayang
byr: bayar
dbayar: bayar
fee: bayar
pay: bayar
benban: beban
free: bebas
beginih: begini
beginj: begini
bengini: begini
bgini: begini
bgni: begini
gin: begini
gini: begini
ginian: begini
gni: begini
ngene: begini
bgitu: begitu
bgtu: begitu
bigutu: begitu
gitu: begitu
gitua: begitu
gituh: begitu
gitulah: begitu
gituloh: begitu
gmana: begitu
gth: begitu
gtoo: begitu
gtu: begitu
ngono: begitu
really: begitu
bain: bela
dibelain: bela
ngebelain: bela
blajar: belajar
bljar: belajar
spend: belanja
belasan: belas
bekum: belum
belm: belum
belom: belum
belu: belum
belug: belum
belup: belum
belus: belum
beoum: belum
beum: belum
blm: belum
blom: belum
blum: belum
lom: belum
lum: belum
sbelum: belum
sblm: belum
sblmnya: belum
sblmya: belum
sblum: belum
sblumnya: belum
sebelumnua: belum
sebelumny: belum
sebelumya: belum
seblm: belum
seblmnya: belum
seblum: belum
seblumnya: belum
velum: belum
bener: benar
beneran: benar
benerlah: benar
benernya: benar
bner: benar
bnr: benar
confirm: benar
henar: benar
near: benar
sbenarnya: benar
sbnrny: benar
sbnrnya: benar
sebener: benar
sebenermya: benar
sebenernya: benar
sebenrny: benar
sebenrnya: benar
bantar: bentar
bentar: bentar
bntar: bentar
bntr: bentar
entar: bentar
sbntar: bentar
sbntr: bentar
sebentar: bentar
sebntar: bentar
home: beranda
acakadut: berantak
amburadul: berantak
ambyar: berantak
awur: berantak
buyer: berantak
rancau: berantak
ricuh: berantak
semprawut: berantak
beranta: berantas
bberapa: berapa
bbrapa: berapa
bbrp: berapa
bbrpa: berapa
beberapabebraph: berapa
bebereapa: berapa
beberp: berapa
beberpa: berapa
bebraph: berapa
berap: berapa
berpa: berapa
brapa: berapa
brp: berapa
brpa: berapa
brrp: berapa
rapa: berapa
bbrpcara: berapa cara
beberapakali: berapa kali
beberapaperangkat: berapa perangkat
beras: berat
brengsek: berengsek
cok: berengsek
cook: berengsek
cuk: berengsek
jancok: berengsek
berikan: beri
berilah: beri
kasi: beri
menberikan: beri
ngasi: beri
semat: beri
php: beri harap palsu
beritahu: beri tahu
dberitahukan: beri tahu
diberitahukan: beri tahu
pembeitahuannya: beri tahu
pemberitahuan: beri tahu
pemberitahuannya: beri tahu
file: berkas
mberkas: berkas
bersihin: bersih
cleansing: bersih
clir: bersih
akbar: besar
besarin: besar
big: besar
digedein: besar
gede: besar
gedhe: besar
megah: besar
ngezoom: besar
perbeaar: besar
teebesar: besar
zoom: besar
besokx: besok
besuk: besok
bsk: besok
bsok: besok
esok: besok
alangkah: betapa
betol: betul
ben: biar
biarin: biar
biat: biar
bir: biar
biyar: biar
ngomong: bicara
ngomongin: bicara
babibu: bicara suatu
bikang: bilang
bilangin: bilang
bilng: bilang
bilanggagal: bilang gagal
bimbingan: bimbing
membingbing: bimbing
bintek: bimbing teknik
biktekan: bimbing teknis
bimtek: bimbing teknis
bimteknya: bimbing teknis
membimtek: bimbing teknis
membintek: bimbing teknis
grid: bingkai
fps: bingkai per detik
bagong: bingung
bigung: bingung
bimbang: bingung
binggung: bingung
glabakan: bingung
membangongongkan: bingung
membingunkan: bingung
menglieurkan: bingung
mumeeeeeeet: bingung
mumet: bingung
bingahg: bintang
bntang: bintang
geometrik: biometik
bimetrik: biometrik
biometik: biometrik
biometri: biometrik
biometric: biometrik
becus: bisa
besa: bisa
bia: bisa
bida: bisa
bis: bisa
bisah: bisa
bisain: bisa
bise: bisa
biso: bisa
bisqa: bisa
bosa: bisa
bs: bisa
bsa: bisa
bsah: bisa
bsia: bisa
busa: bisa
can: bisa
isa: bisa
iso: bisa
isob: bisa
kenek: bisa
nisa: bisa
pacak: bisa
pecus: bisa
sa: bisa
subisa: bisa
visa: bisa
bisabisa: bisa bisa
bisalagi: bisa lagi
bisamasuk: bisa masuk
bismilah: bismillahirrahmannirrahiim
bismillah: bismillahirrahmannirrahiim
bismillahirrahmanirrahim: bismillahirrahmannirrahiim
bismillahirrohmanirrohim: bismillahirrahmannirrahiim
bitang: bitang
blablabla: bla bla bla
bego: bodoh
blok: bodoh
bloon: bodoh
bodo: bodoh
bodok: bodoh
bongol: bodoh
budduh: bodoh
gebleg: bodoh
gemblung: bodoh
gobl: bodoh
goblog: bodoh
goblok: bodoh
idiot: bodoh
koplak: bodoh
koplok: bodoh
ooon: bodoh
pea: bodoh
peak: bodoh
pekok: bodoh
somplak: bodoh
tol: bodoh
tolol: bodoh
abal: bodong
bhg: bohong
bong: bohong
boong: bohong
boooooonng: bohong
dobol: bohong
bolah: bolak
bulak: bolak
boomers: boomer
booos: bos
boos: bos
boskuh: bos
boskuw: bos
bosq: bos
bossas: bos
bossku: bos
bossqu: bos
boring: bosan
bosen: bosan
sebuqh: buah
wasting: buang
beking: buat
besut: buat
bikiin: buat
bikin: buat
bkin: buat
bking: buat
buatin: buat
bust: buat
buwat: buat
bwt: buat
cetus: buat
create: buat
creatornya: buat
defo: buat
depeloper: buat
depelopernya: buat
depeloperx: buat
depelover: buat
depelovernya: buat
deplover: buat
dev: buat
develop: buat
develope: buat
developer: buat
developersnya: buat
developher: buat
developing: buat
development: buat
developnya: buat
develover: buat
devilover: buat
devloper: buat
devlopernya: buat
devlover: buat
devnya: buat
diplopernya: buat
dvloper: buat
enginer: buat
enginering: buat
garai: buat
garap: buat
kembangin: buat
kreator: buat
made: buat
maker: buat
membat: buat
mmbuat: buat
ngebuat: buat
ngembangin: buat
ngembanginnya: buat
pemgembang: buat
pengebanganya: buat
pengembagan: buat
pengembng: buat
pengemvang: buat
pikin: buat
pngembang: buat
pogremernya: buat
progammer: buat
programer: buat
programernya: buat
programmer: buat
programmernya: buat
programming: buat
bikpus: buat pusing
buatsungguh: buat sungguh
bubarin: bubar
buft: bug
bka: buka
bukaanya: buka
bukak: buka
bukane: buka
dbuka: buka
dibukak: buka
mbuka: buka
ngebuka: buka
open: buka
sibuka: buka
unlock: buka kunci
bkan: bukan
bkannya: bukan
bkn: bukan
bknnya: bukan
bknya: bukan
buak: bukan
buakn: bukan
bukankah: bukan
bukanya: bukan
bukanyq: bukan
bukn: bukan
bukqn: bukan
buksn: bukan
bulet: bulat
keburu: buru
bad: buruk
bosok: buruk
bosoook: buruk
bucuk: buruk
buosok: buruk
buosook: buruk
burek: buruk
burik: buruk
buriq: buruk
burique: buruk
burujk: buruk
burut: buruk
buruuk: buruk
busuk: buruk
busuuk: buruk
busuuuuuk: buruk
chuak: buruk
cuaks: buruk
cuax: buruk
jlk: buruk
kusut: buruk
nemen: buruk
paraaaah: buruk
worst: buruk
btuh: butuh
dibutuhin: butuh
kuno: butut
chasil: c hasil
cacad: cacat
cerca: caci
backup: cadang
dibackup: cadang
blis: cahaya
blitz: cahaya
light: cahaya
caleg: calon legislatif
cpns: calon pegawai negeri sipil
capres: calon presiden
capresnya: calon presiden
cawapres: calon wakil presiden
cantumin: cantum
mncapai: capai
cape: capek
capeeek: capek
capeek: capek
capekin: capek
cpe: capek
mengcape: capek
cra: cara
pentunjuknya: cara
scr: cara
secara: cara
secra: cara
trix: cara
cri: cari
dcari: cari
mncari: cari
nyari: cari
catet: catat
log: catat
note: catat
nyatet: catat
vn: catat suara
cecer: cecar
check: cek
ck: cek
ngecek: cek
pengecekan: cek
akselerasi: cepat
capat: cepat
cepet: cepat
cepetan: cepat
cepqt: cepat
cpet: cepat
cpt: cepat
fast: cepat
kebut: cepat
kencang: cepat
kenceenng: cepat
kenceng: cepat
mmpercepat: cepat
quick: cepat
satset: cepat
secepatnya: cepat
secepetnya: cepat
speed: cepat
benderang: cerah
bening: cerah
pecerahan: cerah
pencerahannya: cerah
pencerahanya: cerah
cermat: cerdas
intelektualitas: cerdas
keminter: cerdas
pandai: cerdas
pintar: cerdas
pinter: cerdas
smart: cerdas
ai: cerdas buat
ianya: cerdas buat
dongeng: cerita
story: cerita
printer: cetak
chroom: chrome
crome: chrome
cuih: cih
juih: cih
chipset: cip
nyiptain: cipta
cb: coba
cba: coba
cn: coba
cobain: coba
cobak: coba
dicobah: coba
nyoba: coba
nyobain: coba
percobaab: coba
try: coba
dicobacoba: coba coba
otakatik: coba coba
nyoblos: coblos
ccok: cocok
diuninstal: copot
diunstal: copot
hapus: copot
pretelin: copot
uninst: copot
uninstal: copot
uninstall: copot
unisntal: copot
unistal: copot
unsintal: copot
unstl: copot
ckup: cukup
curhatan: curhat
coy: cuy
euy: cuy
eeey: cuy
ey: cuy
uy: cuy
dadakan: dadak
ngedadak: dadak
daeranya: daerah
daftara: daftar
list: daftar
pebdaftaran: daftar
register: daftar
registrasi: daftar
terdaftat: daftar
dl: dahulu
dlu: dahulu
dulu: dahulu
dulua: dahulu
dululah: dahulu
dalan: dalam
dalem: dalam
dlam: dalam
dlm: dalam
otw: dalam jalan
impact: dampak
and: dan
daan: dan
dam: dan
dn: dan
dqn: dan
land: dan
n: dan
nd: dan
plus: dan
dll: dan lain lain
dsb: dan sebagainya
dst: dan terus
daoet: dapat
dapa: dapat
dapaftkan: dapat
dapan: dapat
dapet: dapat
dapetin: dapat
dpat: dapat
dpet: dapat
dpt: dapat
medapatkan: dapat
memdapatkan: dapat
mendapatakan: dapat
mendapatkam: dapat
mendapatkn: dapat
mendaptkan: dapat
mendpt: dapat
mendptkn: dapat
mndapat: dapat
mndapatkan: dapat
mndatkan: dapat
mndptkan: dapat
obtain: dapat
mendapatkankunci: dapat kunci
daro: dari
dr: dari
dri: dari
of: dari
sedari: dari
daritadi: dari tadi
daripda: daripada
daripqda: daripada
dripda: daripada
drpd: daripada
acu: dasar
basic: dasar
fundamental: dasar
dasbord: dasbor
panel: dasbor
dta: data
datin: data dan informasi
coming: datang
datangin: datang
dateng: datang
hd: definisi tinggi
dech: deh
deeeeh: deh
deeh: deh
deket: dekat
dket: dekat
mempet: dekat
meped: dekat
mepet: dekat
mndekati: dekat
msendekati: dekat
dengn: dengan
dg: dengan
dgn: dengan
dng: dengan
dngan: dengan
dngn: dengan
with: dengan
dpn: depan
kdepan: depan
kdpannya: depan
design: desain
designer: desain
iux: desain alam dan antarmuka guna
genting: desak
ngedesak: desak
urgen: desak
urgensi: desak
desc: deskripsi
desk: deskripsi
deskripi: deskripsi
ditail: detail
detect: deteksi
ditek: deteksi
kedetec: deteksi
keditek: deteksi
dpd: dewan wakil daerah
dpr: dewan wakil rakyat
dprd: dewan wakil rakyat daerah
dpri: dewan wakil rakyat republik indonesia
mature: dewasa
d: di
du: di
diman: di mana
dimana: di mana
dimna: di mana
dmn: di mana
didinya: di situ
dinya: dia
paud: didik anak usia dini
ddigital: digital
digitak: digital
digitaliaasi: digital
digitalisai: digital
digitalisasi: digital
ditigal: digital
gita: digital
gital: digital
gitilisasi: digital
dimensity: dimensi
berdo: doa
documen: dokumen
dok: dokumen
dokomen: dokumen
dokument: dokumen
dokumenya: dokumen
dolumen: dokumen
ath: dong
atuh: dong
atuuh: dong
dog: dong
donk: dong
doong: dong
doonk: dong
dooong: dong
dooonng: dong
dung: dong
dwong: dong
disupport: dukung
dukukangan: dukung
menyuport: dukung
suport: dukung
support: dukung
supprot: dukung
duluan: dulu
ece: ecek
efektifitas: efektif
efektit: efektif
efesien: efisien
efiaien: efisien
efisiensi: efisien
evisien: efisien
mengefesiensikan: efisien
eeh: eh
ekspektasinya: ekspektasi
ektra: ekstra
elite: elit
ngelit: elit
elit: elite
agmail: email
gmail: email
imail: email
mail: email
emosional: emosi
esmosi: emosi
enk: enak
terhendus: endus
entahlaah: entah
entalah: entah
eeeeeerrrroor: eror
eeerrrooor: eror
elor: eror
elorrnya: eror
eoro: eror
ereor: eror
eroe: eror
eroooor: eror
eroor: eror
erore: eror
eroro: eror
erorrnya: eror
erorrrre: eror
err: eror
errir: eror
erroooor: eror
error: eror
errorlah: eror
errornya: eror
errror: eror
ertor: eror
oleng: eror
oror: eror
erorterus: eror terus
eval: evaluasi
fb: facebook
pesbuk: facebook
fagh: fak
fcek: fak
feb: februari
february: februari
febuari: februari
peb: februari
pebruari: februari
fiturny: fitur
fiturnya: fitur
ftur: fitur
pitur: fitur
vitur: fitur
flexible: fleksibel
focus: fokus
fokusa: fokus
fokusin: fokus
mempokuskan: fokus
ngefokusin: fokus
autofocus: fokus otomatis
autofokus: fokus otomatis
form: formulir
foro: foto
ft: foto
fto: foto
ftonya: foto
jempretan: foto
jepret: foto
menfoto: foto
moto: foto
motret: foto
ngefoto: foto
photo: foto
poto: foto
potonya: foto
potret: foto
terfoto: foto
epep: free fire
befungsi: fungsi
berfunhsi: fungsi
berfunsi: fungsi
pungsi: fungsi
begadang: gadang
crash: gagal
crashed: gagal
crush: gagal
fail: gagal
failde: gagal
failed: gagal
filed: gagal
filid: gagal
gagak: gagal
galat: gagal
gegagalan: gagal
ggal: gagal
ggl: gagal
hagal: gagal
hang: gagal
kegalalan: gagal
kolap: gagal
ngandet: gagal
ngblank: gagal
ngeblak: gagal
ngeblank: gagal
ngefreeze: gagal
ngeglitch: gagal
ngehang: gagal
ngehank: gagal
palid: gagal
vailed: gagal
zong: gagal
zonk: gagal
zoonk: gagal
gagalendapatkan: gagal dapat
gatot: gagal total
gaptek: gagap teknologi
gajih: gaji
gajine: gaji
honor: gaji
insentive: gaji
upah: gaji
umr: gaji minimum regional
album: galeri
galery: galeri
gallery: galeri
galerigamatang: galeri tidak siap
gambarny: gambar
gambarx: gambar
gmbr: gambar
image: gambar
dual: ganda
ganggguan: ganggu
ganguan: ganggu
menganggu: ganggu
mengangu: ganggu
menggangu: ganggu
mengganngu: ganggu
dignti: ganti
gati: ganti
gatiin: ganti
gnti: ganti
menganti: ganti
gantinsandi: ganti sandi
gegara: gara
gra: gara
menggatelkan: gatal
gaswat: gawat
gegayaan: gaya
